spatial_level,spatial_group,metric_group,metric,comparison_type,comparison_period,comparison_scope,status,pre_bloom_mean,pre_bloom_se,n_pre_bloom,comparison_mean,comparison_se,n_comparison,absolute_change,percentage,percentage_change,baseline_zero,impact
location,Encounter Bay,species_richness,M2 invertebrate species richness,period_split,Bloom 2026-02,by_status,Fished,9.602564102564102,0.24807975035914862,117,4,0.5075192189225524,12,-5.602564102564102,41.655540720961284,-58.344459279038716,FALSE,High
location,Encounter Bay,species_richness,M2 invertebrate species richness,period_split,Bloom 2026-02,by_status,No-take,9.041666666666666,0.4926237307485485,24,6.25,0.5951190357119042,4,-2.791666666666666,69.12442396313364,-30.875576036866363,FALSE,Medium
location,Encounter Bay,species_richness,M2 invertebrate species richness,period_split,Bloom 2026-02,overall,Overall,9.50709219858156,0.22229949901992482,141,4.5625,0.47186465220442186,16,-4.94459219858156,47.99048862364789,-52.00951137635211,FALSE,High
location,Encounter Bay,species_richness,M2 invertebrate species richness,period_split,Bloom 2026-05,by_status,Fished,9.602564102564102,0.24807975035914862,117,2.625,0.4700873778960065,8,-6.977564102564102,27.33644859813084,-72.66355140186916,FALSE,High
location,Encounter Bay,species_richness,M2 invertebrate species richness,period_split,Bloom 2026-05,by_status,No-take,9.041666666666666,0.4926237307485485,24,4.375,0.3145764348029479,4,-4.666666666666666,48.38709677419355,-51.61290322580645,FALSE,High
location,Encounter Bay,species_richness,M2 invertebrate species richness,period_split,Bloom 2026-05,overall,Overall,9.50709219858156,0.22229949901992482,141,3.2083333333333335,0.4057276167453961,12,-6.298758865248226,33.746736292428196,-66.2532637075718,FALSE,High
location,Encounter Bay,total_abundance,M1 fish total abundance,period,Bloom,by_status,Fished,24.48695652173913,1.7826978080459384,115,16.303571428571427,4.414183135655117,28,-8.183385093167704,66.58063616071428,-33.41936383928572,FALSE,Medium
location,Encounter Bay,total_abundance,M1 fish total abundance,period,Bloom,by_status,No-take,14,2.47903295573181,14,10.625,4.275918865326743,8,-3.375,75.89285714285714,-24.10714285714286,FALSE,Medium
location,Encounter Bay,total_abundance,M1 fish total abundance,period,Bloom,overall,Overall,23.348837209302324,1.635268731130281,129,15.041666666666666,3.558489457933271,36,-8.307170542635658,64.42148074369189,-35.57851925630811,FALSE,Medium
location,Encounter Bay,total_abundance,M1 fish total abundance,period_split,Bloom 2025-06,by_status,Fished,24.48695652173913,1.7826978080459384,115,18.3125,6.599470690355184,8,-6.174456521739131,74.78471235795455,-25.215287642045453,FALSE,Medium
location,Encounter Bay,total_abundance,M1 fish total abundance,period_split,Bloom 2025-06,overall,Overall,23.348837209302324,1.635268731130281,129,18.3125,6.599470690355184,8,-5.036337209302324,78.43002988047809,-21.569970119521912,FALSE,Medium
