"Period","response","SE","df","asymp.LCL","asymp.UCL","reporting_name","metric","1","metric_id"
"Pre-bloom",1.0833329938032168,0.30046253508458765,Inf,0.6290441394761335,1.8657043310824273,"Orcades Bank - Orcades Bank Sanctuary Zone","Shark and ray richness","overall","sharks_rays"
"Pre-bloom",0.513701220377409,0.19094063696160127,Inf,0.24792622888823707,1.0643849382156256,"Port Gibbon - Port Gibbon Sanctuary Zone","Shark and ray richness",NA,"sharks_rays"
"Bloom",0.24999996600566732,0.10206205731850047,Inf,0.1123151598620915,0.5564696972303357,"Port Gibbon - Port Gibbon Sanctuary Zone","Shark and ray richness",NA,"sharks_rays"
"Pre-bloom",0.16589529145136425,0.06338831375111725,Inf,0.07844971532183327,0.35081386354086197,"Rapid Head - Rapid Head Sanctuary Zone","Shark and ray richness",NA,"sharks_rays"
"Bloom",0.10660989881926139,0.10225207251284398,Inf,0.01627009250887866,0.6985621329473609,"Rapid Head - Rapid Head Sanctuary Zone","Shark and ray richness",NA,"sharks_rays"
"Pre-bloom",0.7015844745627792,0.21094492707392284,Inf,0.38917934294601697,1.2647659334164782,"The Pages - The Pages Sanctuary Zone","Shark and ray richness",NA,"sharks_rays"
"Bloom",0.48069335202187163,0.20039864903957397,Inf,0.21232760403010897,1.0882527485463305,"The Pages - The Pages Sanctuary Zone","Shark and ray richness",NA,"sharks_rays"
"Pre-bloom",0.3048523729548578,0.198829263771339,Inf,0.08490303983194195,1.094601200147418,"Victor Harbor - Encounter Bay Sanctuary Zone","Shark and ray richness",NA,"sharks_rays"
"Bloom",0.13617239656278207,0.11836738839077196,Inf,0.02478477956342251,0.7481576157738886,"Victor Harbor - Encounter Bay Sanctuary Zone","Shark and ray richness",NA,"sharks_rays"
"Pre-bloom",0.8749999973207964,0.11023964131569128,Inf,0.6835444066262035,1.1200808431603124,"Windara Reef - Windara Shell fish Reef Sanctuary Zone","Shark and ray richness",NA,"sharks_rays"
"Bloom",8.897371991300324e-9,2.722953663948271e-5,Inf,2.220446049250313e-16,Inf,"Windara Reef - Windara Shell fish Reef Sanctuary Zone","Shark and ray richness",NA,"sharks_rays"
"Pre-bloom",5.372782420915257,0.6143774001983098,Inf,4.294023330659163,6.722551024906695,"Aldinga - Aldinga Reef Sanctuary Zone","Reef associated species richness",NA,"reef_associated_richness"
"Bloom",2.36570486967903,0.6940045959826109,Inf,1.3312253215811962,4.204066313714363,"Aldinga - Aldinga Reef Sanctuary Zone","Reef associated species richness",NA,"reef_associated_richness"
"Pre-bloom",0.38428998575966866,0.08181856088970837,Inf,0.25318100530594834,0.5832933358357935,"Bay of Shoals - Bay of Shoals Sanctuary Zone","Reef associated species richness",NA,"reef_associated_richness"
"Bloom",0.18488642296398636,0.10499906366389576,Inf,0.06074326906893279,0.5627453036422266,"Bay of Shoals - Bay of Shoals Sanctuary Zone","Reef associated species richness",NA,"reef_associated_richness"
"Pre-bloom",0.2755638955333911,0.11250980961602253,Inf,0.1237900598111527,0.6134213089272326,"Boston Bay","Reef associated species richness",NA,"reef_associated_richness"
"Bloom",0.15254741061726027,0.09321829838172978,Inf,0.04605265618867013,0.5053066296696272,"Boston Bay","Reef associated species richness",NA,"reef_associated_richness"
"Pre-bloom",2.832106567901934,0.3475291634723073,Inf,2.226682208638481,3.6021429465040984,"Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Reef associated species richness",NA,"reef_associated_richness"
"Bloom",1.9720261280240476,0.29095118664776354,Inf,1.476818273095419,2.6332874670208333,"Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Reef associated species richness",NA,"reef_associated_richness"
"Pre-bloom",6.632734663091421,0.6026234499350813,Inf,5.550804017538977,7.92554897848464,"Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Reef associated species richness",NA,"reef_associated_richness"
"Bloom",6.397196640816609,1.4875820556325097,Inf,4.0555917204739815,10.090790119399012,"Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Reef associated species richness",NA,"reef_associated_richness"
"Pre-bloom",7.1879529803737245,0.7782473502807675,Inf,5.813594373231877,8.887215848074572,"Chinamans Hat - Chinamans Hat Sanctuary Zone","Reef associated species richness",NA,"reef_associated_richness"
"Bloom",5.538744116557741,0.6706975481086651,Inf,4.368553038260232,7.022390736709544,"Chinamans Hat - Chinamans Hat Sanctuary Zone","Reef associated species richness",NA,"reef_associated_richness"
"Pre-bloom",1.0425243346566743e-5,0.1082531768786623,Inf,2.220446049250313e-16,Inf,"Cuttlefish Coast - Fairway Bank Sanctuary Zone","Reef associated species richness",NA,"reef_associated_richness"
"Bloom",0.5590169944354789,0.2176533141940155,Inf,0.26062112662736664,1.1990585878883313,"Cuttlefish Coast - Fairway Bank Sanctuary Zone","Reef associated species richness",NA,"reef_associated_richness"
"Pre-bloom",3.0508300529103582,2.0795344053276548,Inf,0.802073767323014,11.60437405004002,"Dangerous Reef - Dangerous Reef Sanctuary Zone","Reef associated species richness",NA,"reef_associated_richness"
"Bloom",16.000370169153936,16.398985287513355,Inf,2.146459086518233,119.27170993285853,"Dangerous Reef - Dangerous Reef Sanctuary Zone","Reef associated species richness",NA,"reef_associated_richness"
"Pre-bloom",1.491803275231747,0.33341138397503856,Inf,0.9626575131552125,2.3118055815073104,"Glenelg","Reef associated species richness",NA,"reef_associated_richness"
"Bloom",0.4594594587707326,0.16117596000837053,Inf,0.23102031684869737,0.9137854069871812,"Glenelg","Reef associated species richness",NA,"reef_associated_richness"
"Pre-bloom",1.186488143572073,0.14852213370081488,Inf,0.9283500234539535,1.5164044587401568,"Middle/Long Spit - Middle Spit Sanctuary Zone","Reef associated species richness",NA,"reef_associated_richness"
"Bloom",0.48412294263010214,0.14657549586366744,Inf,0.26744938652726086,0.8763341229684951,"Middle/Long Spit - Middle Spit Sanctuary Zone","Reef associated species richness",NA,"reef_associated_richness"
"Pre-bloom",2.421052631263999,0.39597035699904776,Inf,1.7570644307877965,3.335959536055416,"O'Sullivan","Reef associated species richness",NA,"reef_associated_richness"
"Bloom",0.8529411764782949,0.24443513713046244,Inf,0.48638759086054567,1.4957385101972411,"O'Sullivan","Reef associated species richness",NA,"reef_associated_richness"
"Pre-bloom",0.8361614224921071,0.21341693857831087,Inf,0.5070309101715065,1.3789414223829601,"Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Reef associated species richness",NA,"reef_associated_richness"
"Bloom",0.23114201009884666,0.1617431426766729,Inf,0.05864689236327118,0.9109882327881852,"Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Reef associated species richness",NA,"reef_associated_richness"
"Pre-bloom",7.499999925586994,1.1439878129719705,Inf,5.5619365762390345,10.113383731146572,"Orcades Bank - Orcades Bank Sanctuary Zone","Reef associated species richness","overall","reef_associated_richness"
"Pre-bloom",2.1650636873853726,NA,Inf,NA,NA,"Port Gibbon - Port Gibbon Sanctuary Zone","Reef associated species richness",NA,"reef_associated_richness"
"Bloom",1.1547006529668218,NA,Inf,NA,NA,"Port Gibbon - Port Gibbon Sanctuary Zone","Reef associated species richness",NA,"reef_associated_richness"
"Pre-bloom",4.84059440167619,1.307304578701699,Inf,2.851108668032045,8.218330793302304,"Port Noarlunga - Port Noarlunga Reef Sanctuary Zone","Reef associated species richness",NA,"reef_associated_richness"
"Bloom",4.256962556498384,3.020499931084274,Inf,1.0595838839663951,17.102685763389726,"Port Noarlunga - Port Noarlunga Reef Sanctuary Zone","Reef associated species richness",NA,"reef_associated_richness"
"Pre-bloom",6.690249003840572,0.45587343851773277,Inf,5.853847781891339,7.646155725444625,"Rapid Head - Rapid Head Sanctuary Zone","Reef associated species richness",NA,"reef_associated_richness"
"Bloom",6.322075192367533,1.0550007018494587,Inf,4.5584249228534315,8.76808007466971,"Rapid Head - Rapid Head Sanctuary Zone","Reef associated species richness",NA,"reef_associated_richness"
"Pre-bloom",10.751195231155311,0.5448426537664807,Inf,9.73464379407421,11.873901227775685,"Sponge Gardens - Sponge Gardens Sanctuary Zone","Reef associated species richness",NA,"reef_associated_richness"
"Bloom",10.57803903430081,0.8803041517391799,Inf,8.986036814797828,12.452086733823279,"Sponge Gardens - Sponge Gardens Sanctuary Zone","Reef associated species richness",NA,"reef_associated_richness"
"Pre-bloom",7.189062467013026,0.491692274861217,Inf,6.2871635829205665,8.220339501745137,"The Pages - The Pages Sanctuary Zone","Reef associated species richness",NA,"reef_associated_richness"
"Bloom",5.783963268558245,0.5510635336956891,Inf,4.798746674343685,6.971451789879373,"The Pages - The Pages Sanctuary Zone","Reef associated species richness",NA,"reef_associated_richness"
