dataset,dataset_label,location,ordination,site_name,status,axis1,axis2,n_events
M2_cryptic,M2 fish,Southern Metro,cap_period,Willunga,Fished,0.7875632601938882,-0.5039259738365695,3
M2_cryptic,M2 fish,Southern Metro,cap_status,Aldinga Pinacles,No-take,-0.9080649797418582,0.34718554023772835,5
M2_cryptic,M2 fish,Southern Metro,cap_status,Aldinga Reef,No-take,-0.9068753662597174,0.045901108510332196,5
M2_cryptic,M2 fish,Southern Metro,cap_status,Aldinga SZ1,No-take,-0.7299390984193412,0.4416073238570799,2
M2_cryptic,M2 fish,Southern Metro,cap_status,Aldinga SZ3,No-take,-0.7539967188032508,0.8139341996579141,2
M2_cryptic,M2 fish,Southern Metro,cap_status,Gull Rock,Fished,0.8228544733535026,-0.48292742267208333,2
M2_cryptic,M2 fish,Southern Metro,cap_status,Horseshoe inner,Fished,0.5104882948565095,-0.9257474586029514,13
M2_cryptic,M2 fish,Southern Metro,cap_status,Horseshoe outer,Fished,0.9985386887679899,0.27270459721841966,10
M2_cryptic,M2 fish,Southern Metro,cap_status,Moana inside,Fished,0.8907418431899881,0.5508784488026293,8
M2_cryptic,M2 fish,Southern Metro,cap_status,Moana outside,Fished,0.8782684945364289,0.45120592181830216,12
M2_cryptic,M2 fish,Southern Metro,cap_status,Noarlunga North Outside,No-take,-1.378266686805697,-0.11204124528592031,11
M2_cryptic,M2 fish,Southern Metro,cap_status,Noarlunga South Outside,No-take,-1.1677855818395662,-0.17657114536974308,4
M2_cryptic,M2 fish,Southern Metro,cap_status,Pt Noarlunga inside,No-take,-1.5098239860522122,-0.31722225139327404,8
M2_cryptic,M2 fish,Southern Metro,cap_status,Southport,Fished,0.9071942636900042,-0.2679723793705729,5
M2_cryptic,M2 fish,Southern Metro,cap_status,Willunga,Fished,1.1615564897210298,0.5972963598701806,3
M2_cryptic,M2 fish,Southern Yorke,cap_period,Edithburgh,Fished,0.4273665986540177,-0.7557172456217575,4
M2_cryptic,M2 fish,Southern Yorke,cap_period,Troubridge Lighthouse,Fished,-0.2063951118421981,0.7753396010637156,2
M2_cryptic,M2 fish,Southern Yorke,cap_period,Troubridge Point,Fished,-0.3241690427329187,0.3680474450898994,4
M2_cryptic,M2 fish,Sponge Gardens,cap_period,Cable Hut,No-take,-0.4347648130474162,-0.6871589263311633,10
M2_cryptic,M2 fish,Sponge Gardens,cap_period,Grassy Knoll,Fished,0.4239002566437186,-0.029067700956787002,6
M2_cryptic,M2 fish,Sponge Gardens,cap_period,Pancake Rock,No-take,0.26808810970129077,-1.0462419382453028,6
M2_cryptic,M2 fish,Sponge Gardens,cap_period,Penneshaw Pub,Fished,0.3121022584231643,1.9691362206609082,6
M2_cryptic,M2 fish,Sponge Gardens,cap_period,Puzzle Rock,Fished,-0.2794826030224807,0.2514382957597868,6
M2_cryptic,M2 fish,Sponge Gardens,cap_status,Cable Hut,No-take,-1.41822409919431,0.13634593241212864,10
M2_cryptic,M2 fish,Sponge Gardens,cap_status,Grassy Knoll,Fished,0.9008726624447042,-1.025007959031419,6
M2_cryptic,M2 fish,Sponge Gardens,cap_status,Pancake Rock,No-take,-1.7811679356167158,-0.22724322068688163,6
M2_cryptic,M2 fish,Sponge Gardens,cap_status,Penneshaw Pub,Fished,2.7266773209264974,1.212147905385396,6
M2_cryptic,M2 fish,Sponge Gardens,cap_status,Puzzle Rock,Fished,0.5173247842360308,-0.18713994635397727,6
M2_cryptic,M2 fish,Upper GSV,cap_period,Outer Harbor breakwater south inside,Fished,0.569926559290836,-0.9416473591097978,2
M2_cryptic,M2 fish,Upper GSV,cap_period,Port Gawler,Fished,-0.3177042799051602,0.41613332025510413,5
M2_cryptic,M2 fish,Upper GSV,cap_period,Port Julia,Fished,0.37186566854010794,0.2855431304789619,2
M2_cryptic,M2 fish,Upper GSV,cap_period,Port Parham,Fished,-0.25739284399020235,0.44641755081840356,7
